File,CEGAR,Cheetah,S52SAT,LCK,KSP
QS53_7_2.cnf_1.0_1_1.intohylo,5.267725706100464,1.8826792240142824,-1.0,-1.0,-1.0
QS54_4_1.cnf_0.01_1_1.intohylo,0.0241644382476806,0.0104284286499023,0.0668172836303711,-1.0,0.0458950996398925
QS54_4_1.cnf_0.01_1_2.intohylo,0.0107874870300292,0.0076949596405029,0.0526516437530517,8.19707989692688,0.0468916893005371
QS54_4_1.cnf_0.01_3_1.intohylo,0.0105526447296142,0.008091926574707,0.0537118911743164,8.182932138442993,0.0861527919769287
QS54_4_1.cnf_0.01_3_2.intohylo,0.0102157592773437,0.0075500011444091,0.053802490234375,9.814666032791138,0.0693869590759277
QS54_4_1.cnf_0.05_1_1.intohylo,0.0111372470855712,0.0085844993591308,0.0653529167175293,-1.0,0.2636387348175049
QS54_4_1.cnf_0.05_1_2.intohylo,0.0106537342071533,0.0081167221069335,0.0641884803771972,-1.0,0.1151130199432373
QS54_4_1.cnf_0.05_3_1.intohylo,0.0116050243377685,0.0093011856079101,0.0723521709442138,-1.0,7.234559297561645
QS54_4_1.cnf_0.05_3_2.intohylo,0.0110876560211181,0.0092055797576904,0.0629985332489013,-1.0,2.877373695373535
QS54_4_1.cnf_0.0_0_1.intohylo,0.0103034973144531,0.0073301792144775,0.0527539253234863,2.8457608222961426,0.0453438758850097
QS54_4_1.cnf_0.1_1_1.intohylo,0.0110015869140625,0.0098738670349121,0.0867261886596679,-1.0,1.2079899311065674
QS54_4_1.cnf_0.1_1_2.intohylo,0.0118422508239746,0.0101814270019531,0.0935349464416503,-1.0,3.031898021697998
QS54_4_1.cnf_1.0_1_1.intohylo,0.0251588821411132,0.0194833278656005,1.3018107414245603,-1.0,-1.0
QS54_4_2.cnf_0.01_1_1.intohylo,0.0145463943481445,0.0105102062225341,0.0655550956726074,-1.0,0.2308416366577148
QS54_4_2.cnf_0.01_1_2.intohylo,0.0154783725738525,0.010066270828247,0.0660560131072998,-1.0,0.2257323265075683
QS54_4_2.cnf_0.01_3_1.intohylo,0.014808177947998,0.0106317996978759,0.0624926090240478,-1.0,0.4263525009155273
QS54_4_2.cnf_0.01_3_2.intohylo,0.0143992900848388,0.0105085372924804,0.0652401447296142,-1.0,0.5888936519622803
QS54_4_2.cnf_0.05_1_1.intohylo,0.0154690742492675,0.0116162300109863,0.1140756607055664,-1.0,1.645091533660889
QS54_4_2.cnf_0.05_1_2.intohylo,0.0152759552001953,0.0118000507354736,0.1007091999053955,-1.0,2.0452232360839844
QS54_4_2.cnf_0.05_3_1.intohylo,0.016880989074707,0.0125942230224609,0.1105885505676269,-1.0,-1.0
QS54_4_2.cnf_0.05_3_2.intohylo,0.0174195766448974,0.0137519836425781,0.1110885143280029,-1.0,-1.0
